groseq_dht.plus	groseq_dht.plus	groseq_dht.minus	groseq_dht.minus	groseq_dmso.plus	groseq_dmso.plus	groseq_dmso.minus	groseq_dmso.minus
38.1	100	11.66	16.74	42.75	101.8	14.03	9.982
38.1	100	11.66	16.74	42.75	101.8	14.03	9.982
38.1	100	11.66	16.74	42.75	101.8	14.03	9.982
0.667	0	68.45	85.81	2.52	0	78.11	96.65
5.563	2.521	39.12	107.4	3.488	1.552	43.73	123.5
5.563	2.521	39.12	107.4	3.488	1.552	43.73	123.5
5.563	2.521	39.12	107.4	3.488	1.552	43.73	123.5
5.563	2.521	39.12	107.4	3.488	1.552	43.73	123.5
5.563	2.521	39.12	107.4	3.488	1.552	43.73	123.5
117.8	57.19	0	0	104	47.88	0	0
0.1801	1.928	18.63	129.7	1.343	2.721	28.31	143
5.476	3.215	38.73	106.3	3.488	2.459	43.47	122.6
5.476	3.215	38.73	106.3	3.488	2.459	43.47	122.6
5.476	3.215	38.73	106.3	3.488	2.459	43.47	122.6
0	0.5603	59.42	103	0	1.169	72.12	87.5
0	0.5603	59.42	103	0	1.169	72.12	87.5
0	0.5603	59.42	103	0	1.169	72.12	87.5
9.318	138.2	0.3661	1.494	10.47	159.8	0	1.001
0.3335	3.548	28.06	125.5	0	4.151	22.09	134.1
0.3335	3.548	28.06	125.5	0	4.151	22.09	134.1
25.04	120.6	1.494	0	16.95	149.7	0	1.001
38.42	118.7	0	0	49.86	106.7	0.02002	0
2.001	0.3202	19.83	152.9	0.8721	0.4186	12.86	123.8
2.001	0.3202	19.83	152.9	0.8721	0.4186	12.86	123.8
2.001	0.3202	19.83	152.9	0.8721	0.4186	12.86	123.8
3.902	7.09	63.61	83.95	6.41	3.392	59.59	84.08
1.154	5.97	99.43	34.3	1.308	4.953	121	43.8
0	4.749	32.31	116.7	0.8721	10.97	22.03	123.4
57.91	47.29	24.04	3.646	60.42	68	43.19	6.027
1.294	2.575	41.88	125.7	0.8721	1.212	31.43	104.7
0	2.001	86.37	69.94	0	2.703	88.7	58.27
21.64	99.79	9.609	4.842	28.8	132.3	6.007	3.784
6.03	3.615	84.45	52.85	11.76	4.308	82.13	61.58
0.5603	3.335	136.8	1.629	0.2965	3.558	156.5	2.022
0.787	2.828	66.54	60.49	0	2.904	83.15	86.92
5.829	1.654	134.6	2.212	4.552	0.3314	152.3	2.102
5.829	1.654	134.6	2.212	4.552	0.3314	152.3	2.102
5.829	1.654	134.6	2.212	4.552	0.3314	152.3	2.102
5.829	1.654	134.6	2.212	4.552	0.3314	152.3	2.102
22.14	23.88	15.02	83.31	20.14	29.82	18.32	88.9
22.14	23.88	15.02	83.31	20.14	29.82	18.32	88.9
22.14	23.88	15.02	83.31	20.14	29.82	18.32	88.9
22.14	23.88	15.02	83.31	20.14	29.82	18.32	88.9
28.18	18.51	27.46	67.99	19.4	31.61	28.28	78.34
28.18	18.51	27.46	67.99	19.4	31.61	28.28	78.34
0	0	59.86	69.44	0	0	80.31	89.1
0	0	59.86	69.44	0	0	80.31	89.1
71.11	73.14	1.39	2.002	78.05	63.64	4.686	4.465
3.081	0	41.38	96.31	3.977	0	49.24	100.3
3.081	0	41.38	96.31	3.977	0	49.24	100.3
0	1.868	134.9	1.719	0	1.046	150.3	1.201
0.4402	1.681	4.02	123.5	1.465	3.192	9.031	147.5
