groseq_dht.plus	groseq_dht.plus	groseq_dht.minus	groseq_dht.minus	groseq_dmso.plus	groseq_dmso.plus	groseq_dmso.minus	groseq_dmso.minus
0	0	0	6.404	0.6104	0.6354	0	1.43
0	0.2287	1.067	0.6618	0	0.1495	1.244	5.163
0	0	2.092	2.69	0	0	2.203	1.373
1.086	2.077	1.452	0	3.737	0	0	0
0	0	1.11	4.248	0	0	1.101	1.788
0	1.22	3.8	1.537	0	0	0.04291	1.387
0	1.429	0.4803	1.654	0	0	0.6436	3.647
0	0	0.3843	5.337	0	1.246	0	0.7151
0	0	0.5444	2.786	0.7849	0.461	0.9011	1.788
0.9528	0	2.327	1.153	0	0	1.788	0.9583
0.4002	0.07623	1.42	5.241	0	0	0	0
0	0	0.9607	3.309	0	0	0.5721	2.288
0	0.1906	2.562	1.708	0	1.993	0.5721	0
0.7909	0.162	4.633	0	0	0	1.43	0
0	0	0.03202	1.035	0	1.943	2.503	1.387
0	0.8385	0.1388	1.868	0	0	0	3.947
0	0	2.946	2.156	0	0	1.416	0.0143
0	0	3.277	0.7365	0	0.07475	2.06	0
1.391	0	0.8432	0.8859	0	0	2.203	0.6007
0	0	4.27	0.5977	0	0	1.03	0
0.9528	1.143	0	0	1.246	2.492	0	0
0	2.373	1.686	0.4483	0	1.233	0	0
0	0	1.409	1.452	0	0	1.63	1.23
0.7146	1.667	0	0	1.246	1.943	0	0
0	0	0.6084	0.459	0	0	3.676	0.615
0	0	1.067	1.751	0	0	1.173	1.23
0	0	3.875	0.3949	0	0	0.8868	0
0	0.7813	1.067	0.8753	0	0	0.9726	1.173
0	0.9147	1.825	0.3095	0	1.769	0	0
0.6384	0	2.668	0.8966	0	0	0	0.472
0	0	2.135	0	0	0	2.474	0
0	0.02859	0.2775	2.925	0	1.271	0	0
0	0	0	0.01067	0	0	1.459	2.832
0	0.9528	2.124	1.078	0	0	0	0
0	0	0.491	1.067	1.968	0.5731	0	0
0	0	1.324	0	0.6354	0.6104	1.43	0
0	0	0	1.174	0	0	2.503	0.2145
0.02859	2.144	0	0	1.246	0	0	0.4005
0	0.2096	2.071	1.131	0	0.2741	0	0
0	0	0.3949	1.74	0	0	0.5292	0.9011
0	0	1.067	0	0	0	1.788	0.5006
0	0	2.316	0.8859	0	0	0	0
0.08576	2.144	0	0.3629	0	0	0.4577	0
0	0	0	1.067	0	0	1.43	0
0.5241	0.4288	0	0	1.495	0	0	0
0	0	0.6511	0.4163	0	0	0	1.23
0	0	0	2.135	0	0	0	0
0	0	0.6404	1.494	0	0	0	0
0	0	1.025	1.11	0	0	0	0
0	0	0.6511	0.95	0	0	0	0.5149
0	0.1334	0	0.1494	0	0	0.5578	1.073
0	0	0.8005	1.057	0	0	0	0
0	0	0.2775	1.324	0	0	0	0
0	0.4669	1.078	0	0	0	0.0143	0
0.686	0	0.7685	0	0	0	0	0
0	0	0	0	0	0	0.7294	0.7008
0	0	0	0	0	0	0.4434	0.9869
0	0	0.6084	0.8005	0	0	0	0
0	0	1.238	0	0	0	0	0
0	0	0	1.067	0	0	0	0
0	0	1.067	0	0	0	0	0
0	0	1.067	0	0	0	0	0
0	0	0.8005	0.2668	0	0	0	0
0	0	0	1.067	0	0	0	0
0	0.4383	0.0427	0	0	0	0.2288	0
0	0	0	0	0.5232	0	0	0
216.5	213.9	21.48	23.23	213.6	224.8	21.93	19.31
